user_id,country,registered_at,kyc_verified,typical_deposit_amt,typical_trade_volume,typical_lot_size,typical_session_duration,trades_per_day,preferred_instrument,ips,devices,fingerprint,is_anomalous,anomaly_labels
U0021,AT,2022-10-12,True,1513.8,500.0,0.44,74.84,2.0,GBP/USD,219.44.110.85|47.234.129.246|116.168.106.69,device_726|device_868,"{'browser': 'Edge', 'os': 'Android', 'screen_res': '1920x1080', 'timezone': 'UTC+1'}",False,
U0022,BE,2023-10-01,True,1846.81,3666.61,1.77,55.46,1.0,AUD/USD,66.70.88.210,device_393,"{'browser': 'Firefox', 'os': 'iOS', 'screen_res': '1280x720', 'timezone': 'UTC+2'}",False,
U0023,JM,2022-09-26,True,243.02,2521.68,0.41,44.81,3.0,USD/CAD,149.38.53.5,device_908,"{'browser': 'Opera', 'os': 'Windows', 'screen_res': '1920x1080', 'timezone': 'UTC+8'}",False,
U0024,AL,2023-11-17,True,842.56,1923.87,0.32,47.36,4.0,XAU/USD,132.229.55.174,device_995|device_986,"{'browser': 'Firefox', 'os': 'Android', 'screen_res': '1920x1080', 'timezone': 'UTC+2'}",True,device_mismatch
U0025,KI,2022-11-09,False,1845.6,79539.18,0.87,13.73,1.0,NZD/USD,125.183.156.77|110.30.86.221,device_585|device_867,"{'browser': 'Opera', 'os': 'Android', 'screen_res': '2560x1440', 'timezone': 'UTC+3'}",True,latency_arbitrage
U0026,DK,2023-02-02,True,207.2,8573.57,1.09,33.42,2.0,EUR/USD,165.226.79.143|91.18.164.120|24.61.19.178,device_1111|device_125|device_643,"{'browser': 'Chrome', 'os': 'Windows', 'screen_res': '3840x2160', 'timezone': 'UTC-8'}",False,
U0027,TJ,2022-07-06,True,3509.28,16755.6,0.98,12.47,5.0,USD/JPY,86.62.185.128|130.23.101.40,device_165|device_381|device_141,"{'browser': 'Opera', 'os': 'Windows', 'screen_res': '2560x1440', 'timezone': 'UTC-6'}",True,ip_hub
U0028,CA,2023-08-02,True,5015.08,21505.64,2.62,47.65,1.0,XAU/USD,44.48.158.164|163.58.85.12|42.96.108.246,device_82|device_168|device_859,"{'browser': 'Opera', 'os': 'iOS', 'screen_res': '3840x2160', 'timezone': 'UTC-5'}",False,
U0029,AE,2023-03-10,True,1314.91,500.0,0.37,5.48,0.1,AUD/USD,157.101.147.161,device_811|device_269,"{'browser': 'Safari', 'os': 'Android', 'screen_res': '1366x768', 'timezone': 'UTC+1'}",False,
U0030,MW,2023-11-23,True,1624.63,500.0,0.58,50.37,2.0,GBP/USD,179.142.218.133,device_437|device_1037|device_544,"{'browser': 'Firefox', 'os': 'Linux', 'screen_res': '1920x1080', 'timezone': 'UTC+3'}",False,
U0031,CV,2022-11-19,True,15183.12,11355.64,3.6,26.27,2.0,USD/CAD,18.177.250.208|183.182.154.84,device_620|device_1084|device_17,"{'browser': 'Opera', 'os': 'Linux', 'screen_res': '1920x1080', 'timezone': 'UTC+2'}",True,ip_hub
U0032,TM,2023-03-07,True,1783.41,696.57,1.44,44.49,1.0,GBP/USD,217.201.125.109|93.68.88.201|108.149.204.139,device_319|device_558|device_578,"{'browser': 'Opera', 'os': 'MacOS', 'screen_res': '1366x768', 'timezone': 'UTC+3'}",False,
U0033,NA,2022-02-21,True,7646.47,12322.53,1.33,84.38,1.0,USD/CAD,98.43.145.22|105.233.232.7,device_190,"{'browser': 'Edge', 'os': 'Linux', 'screen_res': '1920x1080', 'timezone': 'UTC+0'}",True,deposit_and_flee
U0034,PG,2022-12-26,True,3414.25,17980.91,1.37,42.22,2.0,USD/CHF,94.183.153.175,device_905|device_1130|device_876,"{'browser': 'Opera', 'os': 'Windows', 'screen_res': '1920x1080', 'timezone': 'UTC+1'}",True,structuring
U0035,SC,2023-07-03,True,122.19,10522.56,0.2,23.8,3.0,AUD/USD,26.213.80.121|145.158.67.219|204.113.195.126,device_304|device_881|device_262,"{'browser': 'Chrome', 'os': 'Linux', 'screen_res': '1366x768', 'timezone': 'UTC+0'}",True,dormant_withdrawal
U0036,TV,2022-12-01,True,657.06,622.42,0.77,27.09,3.0,XAU/USD,7.119.194.14|84.205.206.221|204.84.37.97,device_725,"{'browser': 'Opera', 'os': 'Android', 'screen_res': '3840x2160', 'timezone': 'UTC+2'}",True,latency_arbitrage
U0037,AT,2023-04-04,True,2334.45,4670.52,1.0,18.32,1.0,USD/JPY,94.64.55.154|116.92.181.220,device_368,"{'browser': 'Safari', 'os': 'Android', 'screen_res': '2560x1440', 'timezone': 'UTC+5:30'}",False,
U0038,MW,2023-06-22,True,1377.96,23240.7,0.49,20.21,4.0,GBP/USD,52.149.188.61|118.156.132.8,device_964,"{'browser': 'Firefox', 'os': 'MacOS', 'screen_res': '1280x720', 'timezone': 'UTC-5'}",False,
U0039,LK,2023-01-24,True,2494.95,184392.48,1.57,55.73,5.0,XAU/USD,33.39.130.125,device_396,"{'browser': 'Edge', 'os': 'Linux', 'screen_res': '1366x768', 'timezone': 'UTC+1'}",True,latency_arbitrage
U0040,TJ,2023-02-20,True,572.08,39687.28,2.58,26.37,1.0,NZD/USD,60.185.230.161|118.114.227.218|194.199.189.10,device_679|device_57|device_237,"{'browser': 'Safari', 'os': 'MacOS', 'screen_res': '3840x2160', 'timezone': 'UTC+5:30'}",False,
U0041,ME,2023-10-24,True,1566.47,64768.87,0.83,14.06,3.0,NZD/USD,190.79.234.59|40.107.29.35,device_643|device_894|device_1048,"{'browser': 'Chrome', 'os': 'Android', 'screen_res': '3840x2160', 'timezone': 'UTC+3'}",False,
U0042,BI,2023-03-17,False,10955.82,20661.35,0.92,13.15,3.0,NZD/USD,8.101.85.170,device_1103|device_404|device_746,"{'browser': 'Edge', 'os': 'Windows', 'screen_res': '1366x768', 'timezone': 'UTC+9'}",True,structuring
U0043,PH,2023-01-15,True,1727.14,10610.38,0.53,30.57,2.0,GBP/USD,11.73.172.253|40.225.223.198|116.79.171.230,device_1039|device_634,"{'browser': 'Edge', 'os': 'Linux', 'screen_res': '1280x720', 'timezone': 'UTC+5:30'}",False,
U0044,AM,2022-05-14,True,627.89,757.28,2.33,18.45,2.0,NZD/USD,42.22.35.113|47.188.193.94|143.51.185.179,device_357|device_1166,"{'browser': 'Safari', 'os': 'Android', 'screen_res': '3840x2160', 'timezone': 'UTC+0'}",False,
U0045,CD,2023-01-25,True,1543.79,5383.69,2.88,25.67,1.0,NZD/USD,122.19.247.190|105.21.250.243|163.128.2.241,device_660|device_953|device_905,"{'browser': 'Edge', 'os': 'MacOS', 'screen_res': '3840x2160', 'timezone': 'UTC-8'}",True,deposit_and_flee
U0046,ZA,2023-06-12,True,364.02,1092.01,1.24,13.95,2.0,USD/CHF,3.50.131.35|189.122.32.106|34.98.199.64,device_687|device_192|device_482,"{'browser': 'Safari', 'os': 'MacOS', 'screen_res': '2560x1440', 'timezone': 'UTC+2'}",False,
U0047,LU,2023-11-07,False,751.81,78970.23,1.39,27.25,0.1,USD/CAD,211.173.86.106|75.91.118.248|223.83.31.190,device_933,"{'browser': 'Edge', 'os': 'iOS', 'screen_res': '2560x1440', 'timezone': 'UTC-6'}",False,
U0048,GM,2022-07-14,True,3235.23,8486.94,0.95,35.83,4.0,USD/JPY,195.134.111.61|57.180.55.173|58.162.58.114,device_12|device_219|device_871,"{'browser': 'Firefox', 'os': 'MacOS', 'screen_res': '3840x2160', 'timezone': 'UTC-8'}",False,
U0049,ZA,2023-10-12,True,970.66,10682.01,2.06,23.31,1.0,GBP/USD,32.167.220.14|205.140.68.48,device_952,"{'browser': 'Opera', 'os': 'iOS', 'screen_res': '3840x2160', 'timezone': 'UTC-5'}",False,
U0050,CV,2022-09-05,True,247.01,99908.84,1.28,41.43,2.0,NZD/USD,181.255.15.255|42.83.13.40|89.234.33.111,device_326|device_973,"{'browser': 'Edge', 'os': 'Linux', 'screen_res': '2560x1440', 'timezone': 'UTC+5:30'}",False,
U0051,VU,2022-06-17,True,5565.4,500.0,2.37,18.56,5.0,XAU/USD,184.141.63.31|128.42.18.229,device_159|device_586,"{'browser': 'Firefox', 'os': 'Linux', 'screen_res': '1366x768', 'timezone': 'UTC-5'}",False,
U0052,TT,2022-05-28,False,189.83,500.0,0.51,26.09,3.0,USD/JPY,187.172.212.119,device_313|device_439,"{'browser': 'Chrome', 'os': 'Android', 'screen_res': '1280x720', 'timezone': 'UTC-5'}",False,
U0053,IT,2022-05-26,True,1154.8,1197.9,1.04,36.19,2.0,EUR/USD,218.88.82.98,device_798|device_1197,"{'browser': 'Chrome', 'os': 'iOS', 'screen_res': '1280x720', 'timezone': 'UTC-8'}",False,
U0054,MG,2023-11-26,True,1431.63,19129.61,4.06,29.12,2.0,USD/CHF,23.140.210.17|153.24.109.20,device_1103|device_1119,"{'browser': 'Opera', 'os': 'MacOS', 'screen_res': '1280x720', 'timezone': 'UTC+3'}",False,
U0055,BO,2023-02-26,True,3899.37,500.0,1.61,58.44,1.0,EUR/USD,214.113.48.200|101.58.101.112,device_829|device_339,"{'browser': 'Edge', 'os': 'MacOS', 'screen_res': '3840x2160', 'timezone': 'UTC+8'}",False,
U0056,MA,2023-11-05,True,3513.15,4780.7,0.09,21.53,5.0,EUR/USD,99.41.61.191,device_878|device_278|device_946,"{'browser': 'Firefox', 'os': 'Windows', 'screen_res': '1366x768', 'timezone': 'UTC-6'}",True,collusion_ring
U0057,BZ,2023-01-01,True,2414.62,49005.82,0.1,25.03,2.0,AUD/USD,22.63.1.108|122.89.14.82,device_570|device_864,"{'browser': 'Safari', 'os': 'Windows', 'screen_res': '1280x720', 'timezone': 'UTC+0'}",True,latency_arbitrage
U0058,BH,2022-05-29,False,957.95,1195.01,0.87,11.0,3.0,AUD/USD,3.101.101.234,device_141|device_83|device_64,"{'browser': 'Firefox', 'os': 'MacOS', 'screen_res': '1920x1080', 'timezone': 'UTC+9'}",False,
U0059,SM,2023-06-29,True,1875.14,1889.46,0.39,17.32,1.0,USD/CAD,3.160.212.136|93.221.55.110|112.178.109.40,device_1156,"{'browser': 'Firefox', 'os': 'Android', 'screen_res': '1366x768', 'timezone': 'UTC-5'}",True,brute_force_login
U0060,BW,2023-06-14,True,1168.2,13772.37,0.02,36.19,2.0,GBP/USD,203.135.3.205,device_222|device_1186,"{'browser': 'Chrome', 'os': 'Linux', 'screen_res': '3840x2160', 'timezone': 'UTC-6'}",False,
U0061,NZ,2022-10-22,True,4126.14,2960.02,1.57,41.81,2.0,XAU/USD,138.220.195.193,device_498|device_209|device_618,"{'browser': 'Opera', 'os': 'Windows', 'screen_res': '3840x2160', 'timezone': 'UTC+0'}",False,
U0062,KI,2022-12-12,True,550.5,17221.11,0.03,44.12,2.0,AUD/USD,174.161.65.2,device_699|device_26|device_861,"{'browser': 'Edge', 'os': 'Windows', 'screen_res': '1280x720', 'timezone': 'UTC-5'}",False,
U0063,PW,2022-02-20,True,369.91,5854.59,0.12,29.76,0.1,USD/CAD,113.251.111.22|152.29.107.163|133.102.169.220,device_892,"{'browser': 'Firefox', 'os': 'iOS', 'screen_res': '1366x768', 'timezone': 'UTC+9'}",False,
U0064,FJ,2022-05-30,True,341.25,3698.93,0.47,30.05,2.0,USD/CAD,210.163.245.39|207.197.176.168,device_550|device_661|device_503,"{'browser': 'Chrome', 'os': 'Linux', 'screen_res': '1280x720', 'timezone': 'UTC+3'}",False,
U0065,LC,2022-08-14,True,2985.79,8010.98,2.97,36.73,1.0,NZD/USD,91.52.77.110|94.249.227.154,device_1013,"{'browser': 'Safari', 'os': 'MacOS', 'screen_res': '1280x720', 'timezone': 'UTC+3'}",True,volume_spike
U0066,DO,2022-12-04,True,3037.52,4155.88,0.17,37.27,1.0,AUD/USD,106.34.31.81|109.224.186.182,device_566|device_1139|device_21,"{'browser': 'Opera', 'os': 'MacOS', 'screen_res': '1920x1080', 'timezone': 'UTC+3'}",False,
U0067,BF,2022-10-12,True,571.56,1673.65,0.37,26.87,1.0,XAU/USD,33.129.88.73|35.30.217.119|61.105.4.56,device_1006|device_918,"{'browser': 'Chrome', 'os': 'Windows', 'screen_res': '1366x768', 'timezone': 'UTC+3'}",False,
U0068,CA,2022-10-14,True,439.64,4882.9,0.52,41.76,3.0,USD/CHF,201.40.222.57|197.223.88.13|47.143.86.45,device_756|device_970|device_1134,"{'browser': 'Opera', 'os': 'Linux', 'screen_res': '1280x720', 'timezone': 'UTC+8'}",False,
U0069,MD,2022-12-29,True,529.07,3640.21,1.52,6.55,2.0,USD/CAD,193.10.166.188|211.42.233.52,device_515|device_473,"{'browser': 'Chrome', 'os': 'MacOS', 'screen_res': '1366x768', 'timezone': 'UTC+1'}",True,device_mismatch
U0070,GM,2022-06-02,True,1156.2,1464.35,6.0,6.66,0.1,USD/JPY,49.240.199.46,device_992,"{'browser': 'Safari', 'os': 'iOS', 'screen_res': '3840x2160', 'timezone': 'UTC+9'}",False,
U0071,CD,2023-02-16,True,3317.35,2660.35,0.52,36.53,2.0,XAU/USD,182.75.164.91|24.66.113.111,device_740,"{'browser': 'Firefox', 'os': 'Linux', 'screen_res': '1920x1080', 'timezone': 'UTC+8'}",False,
U0072,EG,2023-07-26,True,5354.68,25225.4,1.09,27.61,3.0,EUR/USD,78.66.37.233|37.222.229.93|200.176.238.190,device_259|device_1006,"{'browser': 'Chrome', 'os': 'Windows', 'screen_res': '3840x2160', 'timezone': 'UTC+5:30'}",False,
U0073,BY,2022-08-09,True,570.23,1565.74,1.54,36.83,2.0,AUD/USD,69.195.241.171,device_518,"{'browser': 'Edge', 'os': 'Windows', 'screen_res': '1920x1080', 'timezone': 'UTC-6'}",False,
U0074,GH,2022-07-17,False,3423.48,23486.92,0.05,11.95,2.0,EUR/USD,148.199.216.22,device_1153,"{'browser': 'Safari', 'os': 'Windows', 'screen_res': '2560x1440', 'timezone': 'UTC+1'}",False,
U0075,KR,2022-05-10,True,842.95,8190.96,1.84,13.29,2.0,XAU/USD,93.169.213.182|154.65.130.76|169.241.108.96,device_923|device_907,"{'browser': 'Safari', 'os': 'iOS', 'screen_res': '1280x720', 'timezone': 'UTC+5:30'}",False,
U0076,NZ,2022-04-29,True,1503.63,21083.25,1.59,90.27,1.0,GBP/USD,145.241.45.52,device_433|device_542|device_167,"{'browser': 'Firefox', 'os': 'MacOS', 'screen_res': '2560x1440', 'timezone': 'UTC+8'}",False,
U0077,CO,2023-09-17,True,2733.59,500.0,0.37,35.41,1.0,NZD/USD,103.150.49.48|177.193.128.32,device_963|device_597|device_67,"{'browser': 'Firefox', 'os': 'Linux', 'screen_res': '1366x768', 'timezone': 'UTC-8'}",False,
U0078,MH,2023-09-21,True,1582.92,27479.39,0.72,12.26,2.0,USD/CHF,102.172.55.188|60.28.182.134|126.66.63.121,device_406|device_871|device_236,"{'browser': 'Opera', 'os': 'MacOS', 'screen_res': '2560x1440', 'timezone': 'UTC+5:30'}",False,
U0079,GQ,2023-07-10,False,5036.64,8167.61,2.1,11.43,2.0,USD/JPY,53.123.103.32|62.16.99.17,device_1166|device_592|device_900,"{'browser': 'Chrome', 'os': 'Android', 'screen_res': '1366x768', 'timezone': 'UTC-6'}",False,
U0080,NZ,2023-02-27,True,623.78,61934.34,1.2,10.76,0.1,USD/CAD,99.37.145.217|35.170.110.232,device_82,"{'browser': 'Edge', 'os': 'Linux', 'screen_res': '3840x2160', 'timezone': 'UTC+5:30'}",False,
U0081,NR,2023-11-06,False,7788.32,47107.48,1.54,30.68,4.0,EUR/USD,150.8.39.102|201.50.190.253|173.113.80.94,device_1181|device_83,"{'browser': 'Firefox', 'os': 'Android', 'screen_res': '3840x2160', 'timezone': 'UTC-8'}",False,
U0082,CF,2023-02-21,True,313.02,1035.68,0.98,50.51,0.1,NZD/USD,158.100.54.138|219.61.201.88|160.92.38.211,device_187|device_963,"{'browser': 'Safari', 'os': 'Android', 'screen_res': '1366x768', 'timezone': 'UTC-5'}",True,device_mismatch
U0083,TM,2022-01-15,True,3562.07,500.0,0.51,44.15,1.0,USD/JPY,14.26.98.235|1.61.228.70,device_1015|device_591,"{'browser': 'Edge', 'os': 'iOS', 'screen_res': '1920x1080', 'timezone': 'UTC-8'}",True,structuring
U0084,KG,2023-09-03,True,85.39,16535.4,0.14,21.66,1.0,AUD/USD,86.62.185.128|3.15.43.92,device_1054|device_3,"{'browser': 'Opera', 'os': 'Android', 'screen_res': '1280x720', 'timezone': 'UTC+0'}",True,ip_hub
U0085,CF,2023-05-24,True,2656.81,4260.75,0.8,11.85,1.0,USD/CAD,89.144.83.128|14.236.35.129|159.76.215.230,device_106|device_417,"{'browser': 'Safari', 'os': 'iOS', 'screen_res': '2560x1440', 'timezone': 'UTC+5:30'}",False,
U0086,BN,2022-09-10,True,1935.92,762.18,0.93,28.9,3.0,USD/CAD,128.0.230.194,device_491,"{'browser': 'Firefox', 'os': 'Linux', 'screen_res': '3840x2160', 'timezone': 'UTC+0'}",False,
U0087,BH,2022-05-16,True,18525.8,577.22,0.27,59.05,2.0,XAU/USD,210.230.202.251,device_241|device_316,"{'browser': 'Edge', 'os': 'Linux', 'screen_res': '3840x2160', 'timezone': 'UTC+5:30'}",False,
U0088,SZ,2022-10-03,True,58.83,1770.29,0.17,14.54,0.1,USD/CAD,202.204.55.54,device_1129|device_297,"{'browser': 'Edge', 'os': 'MacOS', 'screen_res': '3840x2160', 'timezone': 'UTC+8'}",False,
U0089,EE,2023-07-16,True,1870.29,12265.81,0.41,15.44,0.1,USD/CHF,67.224.186.85|115.143.128.103,device_1040|device_548,"{'browser': 'Chrome', 'os': 'Linux', 'screen_res': '1366x768', 'timezone': 'UTC+9'}",False,
U0090,GH,2022-04-18,True,492.18,944.69,0.55,35.64,0.1,USD/CAD,198.162.247.76,device_1104|device_992,"{'browser': 'Safari', 'os': 'Linux', 'screen_res': '3840x2160', 'timezone': 'UTC+8'}",False,
U0091,VA,2022-11-11,True,2684.5,28970.32,0.33,67.27,2.0,AUD/USD,17.43.202.250,device_490|device_1172|device_785,"{'browser': 'Firefox', 'os': 'Android', 'screen_res': '1920x1080', 'timezone': 'UTC-5'}",False,
U0092,CA,2022-08-05,True,362.2,763.7,1.24,9.57,2.0,NZD/USD,151.148.2.240|159.33.175.10,device_312|device_1015|device_76,"{'browser': 'Firefox', 'os': 'iOS', 'screen_res': '3840x2160', 'timezone': 'UTC-5'}",False,
U0093,VE,2023-08-22,True,4662.67,2839.55,0.09,54.82,3.0,USD/CAD,185.139.196.56,device_936|device_32|device_296,"{'browser': 'Edge', 'os': 'MacOS', 'screen_res': '1920x1080', 'timezone': 'UTC-8'}",False,
U0094,GQ,2023-03-06,True,100.8,31293.31,2.05,25.46,0.1,NZD/USD,218.68.4.214|140.220.88.68|30.139.192.206,device_673,"{'browser': 'Opera', 'os': 'Android', 'screen_res': '1366x768', 'timezone': 'UTC-8'}",False,
U0095,AG,2022-05-27,False,1538.53,11197.39,0.1,29.14,1.0,GBP/USD,83.149.151.176,device_589|device_466|device_186,"{'browser': 'Edge', 'os': 'Windows', 'screen_res': '1920x1080', 'timezone': 'UTC-8'}",True,brute_force_login
U0096,CD,2023-06-15,True,895.71,2897.27,1.11,12.26,2.0,EUR/USD,43.227.108.232,device_115|device_601,"{'browser': 'Safari', 'os': 'Linux', 'screen_res': '1280x720', 'timezone': 'UTC+2'}",False,
U0097,VN,2023-03-27,True,6519.72,12541.12,3.05,23.31,1.0,USD/JPY,46.61.30.21,device_162,"{'browser': 'Opera', 'os': 'Android', 'screen_res': '3840x2160', 'timezone': 'UTC+3'}",False,
U0098,FM,2022-07-11,True,2663.12,1594.72,0.66,29.67,1.0,USD/JPY,13.201.68.174,device_521|device_942,"{'browser': 'Safari', 'os': 'Windows', 'screen_res': '1280x720', 'timezone': 'UTC+5:30'}",False,
U0099,IT,2022-01-08,True,4795.55,3245.59,0.36,82.81,2.0,GBP/USD,37.55.167.84|176.251.198.4,device_613|device_869,"{'browser': 'Safari', 'os': 'Android', 'screen_res': '1366x768', 'timezone': 'UTC+3'}",False,
U0100,GQ,2022-11-04,True,784.46,2761.5,0.52,28.22,2.0,GBP/USD,128.60.12.25,device_1172|device_736,"{'browser': 'Opera', 'os': 'Linux', 'screen_res': '1366x768', 'timezone': 'UTC+0'}",False,
U0101,PY,2022-01-27,True,1336.53,6936.34,0.67,7.05,3.0,EUR/USD,34.150.52.55|212.160.173.93|115.147.109.137,device_101|device_1018|device_587,"{'browser': 'Firefox', 'os': 'iOS', 'screen_res': '1366x768', 'timezone': 'UTC+3'}",False,
U0102,AF,2022-02-19,True,705.98,4236.96,0.19,22.2,5.0,USD/CHF,77.83.131.184|139.50.167.122|144.138.69.215,device_281|device_199|device_81,"{'browser': 'Safari', 'os': 'Android', 'screen_res': '1920x1080', 'timezone': 'UTC+9'}",False,
U0103,TV,2022-11-24,True,204.55,157436.16,0.88,43.3,5.0,GBP/USD,26.170.39.81|25.246.166.239,device_851|device_360,"{'browser': 'Firefox', 'os': 'MacOS', 'screen_res': '3840x2160', 'timezone': 'UTC-5'}",True,ip_hopper
U0104,AU,2022-06-07,True,1270.58,30082.79,0.59,45.01,2.0,USD/CHF,147.27.161.240,device_987|device_605,"{'browser': 'Safari', 'os': 'Windows', 'screen_res': '1280x720', 'timezone': 'UTC+1'}",True,structuring
U0105,DK,2023-07-11,True,1400.17,3892.91,0.58,22.84,4.0,XAU/USD,163.206.193.213|13.88.58.44|53.113.210.143,device_814|device_1142|device_750,"{'browser': 'Chrome', 'os': 'Android', 'screen_res': '1920x1080', 'timezone': 'UTC+5:30'}",True,collusion_ring
U0106,MR,2022-06-01,True,676.07,2381.25,1.7,26.84,2.0,AUD/USD,149.119.208.6|29.175.50.156|46.107.217.137,device_537|device_1198|device_781,"{'browser': 'Safari', 'os': 'Windows', 'screen_res': '2560x1440', 'timezone': 'UTC-8'}",True,dormant_withdrawal
U0107,AG,2023-11-07,True,13749.92,32344.32,0.65,18.9,2.0,AUD/USD,81.195.247.17|170.192.247.32|187.182.249.158,device_130,"{'browser': 'Edge', 'os': 'Linux', 'screen_res': '1280x720', 'timezone': 'UTC+1'}",False,
U0108,AG,2023-07-12,False,5424.73,4131.55,0.31,11.5,0.1,EUR/USD,116.82.133.237|173.192.220.236,device_238|device_200,"{'browser': 'Firefox', 'os': 'iOS', 'screen_res': '2560x1440', 'timezone': 'UTC-6'}",True,structuring
U0109,TZ,2022-08-25,True,1055.58,4638.98,1.15,47.55,2.0,NZD/USD,47.239.229.120|143.166.124.84|76.202.57.197,device_317|device_850|device_203,"{'browser': 'Edge', 'os': 'iOS', 'screen_res': '1280x720', 'timezone': 'UTC+5:30'}",True,deposit_and_flee
